"id","cn_name","en_name","custom","city","start_time","end_time","dateline","pic"
64,"第八届中国北京国际文化创意产业博览会","The 8th China Beijing International Cultural & Creative Industry Expo","北京世界贸易中心","北京",1383753600000,1384012800000,1506011792643,"[{\"url\":\"/static/upload/20170922_003612.jpg\",\"name\":\"c01.jpg\"},{\"url\":\"/static/upload/20170922_003615.jpg\",\"name\":\"c02.jpg\"},{\"url\":\"/static/upload/20170922_003619.jpg\",\"name\":\"c04.jpg\"},{\"url\":\"/static/upload/20170922_003630.jpg\",\"name\":\"c01.jpg\"}]"
65,"2013京交会“中国国际智能化技术与服务大会”","UrbanTec China Conference@CIFTIS 2013","科隆展览（北京）有限公司","北京",1369756800000,1369843200000,1506184522705,"[{\"url\":\"/static/upload/20170923_234139.jpg\",\"name\":\"01.jpg\"},{\"url\":\"/static/upload/20170923_234143.jpg\",\"name\":\"02.jpg\"},{\"url\":\"/static/upload/20170923_234146.jpg\",\"name\":\"03.jpg\"},{\"url\":\"/static/upload/20170923_234149.jpg\",\"name\":\"04.jpg\"}]"
66,"2012京交会“中国国际城市智能化技术与服务大会”","UrbanTec China Conference@CIFTIS 2012","科隆展览（北京）有限公司","北京",1338134400000,1338480000000,1506184534470,"[{\"url\":\"/static/upload/20170923_234323.jpg\",\"name\":\"01.jpg\"},{\"url\":\"/static/upload/20170923_234326.jpg\",\"name\":\"02.jpg\"},{\"url\":\"/static/upload/20170923_234329.jpg\",\"name\":\"03.jpg\"},{\"url\":\"/static/upload/20170923_234332.jpg\",\"name\":\"04.jpg\"}]"
67,"2013第23届中国国际游乐设施设备博览会","China Atractions Expo 2013","中国游艺机游乐园协会","北京",1363449600000,1363622400000,1506184555287,"[{\"url\":\"/static/upload/20170923_234511.jpg\",\"name\":\"01.jpg\"},{\"url\":\"/static/upload/20170923_234514.jpg\",\"name\":\"02.jpg\"},{\"url\":\"/static/upload/20170923_234517.jpg\",\"name\":\"03.jpg\"},{\"url\":\"/static/upload/20170923_234521.jpg\",\"name\":\"04.jpg\"}]"
68,"中国国际马业马术展览会2012","CHINA HORSE FAIR 2012","上海好博塔苏斯展览有限公司","北京",1353168000000,1353340800000,1506181634007,"[{\"url\":\"/static/upload/20170923_234702.jpg\",\"name\":\"01.jpg\"},{\"url\":\"/static/upload/20170923_234705.jpg\",\"name\":\"02.jpg\"},{\"url\":\"/static/upload/20170923_234708.jpg\",\"name\":\"03.jpg\"},{\"url\":\"/static/upload/20170923_234711.jpg\",\"name\":\"04.jpg\"}]"
69,"2014中国（北京）国际服务贸易交易会-文资办展台","China Beijing International Fair For Trade In Services 2014","北京市国有文化资产监督管理办公室","北京",1401206400000,1401552000000,1506184374226,"[{\"url\":\"/static/upload/20170923_234852.jpg\",\"name\":\"01.jpg\"},{\"url\":\"/static/upload/20170923_234855.jpg\",\"name\":\"02.jpg\"},{\"url\":\"/static/upload/20170923_234858.jpg\",\"name\":\"03.jpg\"},{\"url\":\"/static/upload/20170923_234902.jpg\",\"name\":\"04.jpg\"}]"
70,"2014中国（北京）国际服务贸易交易会-马来西亚展台","China Beijing International Fair For Trade In Services 2014","马来西亚贸促局","北京",1401206400000,1401552000000,1506184387384,"[{\"url\":\"/static/upload/20170923_235016.jpg\",\"name\":\"01.jpg\"},{\"url\":\"/static/upload/20170923_235019.jpg\",\"name\":\"02.jpg\"},{\"url\":\"/static/upload/20170923_235022.jpg\",\"name\":\"03.jpg\"},{\"url\":\"/static/upload/20170923_235025.jpg\",\"name\":\"04.jpg\"}]"
71,"2014中国（北京）国际服务贸易交易会-医疗板块展台","China Beijing International Fair For Trade In Services 2014","慈铭集团","北京",1401206400000,1401552000000,1506184400220,"[{\"url\":\"/static/upload/20170923_235131.jpg\",\"name\":\"01.jpg\"},{\"url\":\"/static/upload/20170923_235135.jpg\",\"name\":\"02.jpg\"},{\"url\":\"/static/upload/20170923_235138.jpg\",\"name\":\"03.jpg\"},{\"url\":\"/static/upload/20170923_235141.jpg\",\"name\":\"04.jpg\"}]"
72,"第十二届中国国际铸造博览会-星和众工展台","Metal + Metallurgy China 2014","北京星和众工设备技术有限公司","北京",1400428800000,1400688000000,1506184411841,"[{\"url\":\"/static/upload/20170923_235244.jpg\",\"name\":\"01.jpg\"},{\"url\":\"/static/upload/20170923_235247.jpg\",\"name\":\"02.jpg\"},{\"url\":\"/static/upload/20170923_235251.jpg\",\"name\":\"03.jpg\"},{\"url\":\"/static/upload/20170923_235254.jpg\",\"name\":\"04.jpg\"}]"
73,"第十二届中国国际铸造博览会-好迪展台","Metal + Metallurgy China 2014","常州好迪机械有限公司","北京",1400428800000,1400688000000,1506184423855,"[{\"url\":\"/static/upload/20170923_235400.jpg\",\"name\":\"01.jpg\"},{\"url\":\"/static/upload/20170923_235409.jpg\",\"name\":\"02.jpg\"},{\"url\":\"/static/upload/20170923_235412.jpg\",\"name\":\"03.jpg\"},{\"url\":\"/static/upload/20170923_235415.jpg\",\"name\":\"04.jpg\"}]"
74,"2013中国（北京）国际服务贸易交易会-文资办展台","China Beijing International Fair For Trade In Services 2013","中国世界贸易中心","北京",1369670400000,1370016000000,1506184489976,"[{\"url\":\"/static/upload/20170923_235516.jpg\",\"name\":\"01.jpg\"},{\"url\":\"/static/upload/20170923_235521.JPG\",\"name\":\"02.JPG\"},{\"url\":\"/static/upload/20170923_235524.JPG\",\"name\":\"03.JPG\"},{\"url\":\"/static/upload/20170923_235527.JPG\",\"name\":\"04.JPG\"}]"
